kernelsize_gaussianBlur,sigmaX,threshold_method,block_size,c_value,horizontal_kernel_divisor,vertical_kernel_divisor,erosion_iterations,dilation_iterations,result_length,error_message
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(3, 3)",1.0,OTSU,9,1,10,10,1,1,2673,
"(3, 3)",1.0,OTSU,9,1,10,20,1,1,2569,
"(3, 3)",1.0,OTSU,9,1,10,30,1,1,2113,
"(3, 3)",1.0,OTSU,9,1,10,40,1,1,577,
"(3, 3)",1.0,OTSU,9,1,10,50,1,1,486,
"(3, 3)",1.0,OTSU,9,1,10,60,1,1,316,
"(3, 3)",1.0,OTSU,9,1,10,70,1,1,382,
"(3, 3)",1.0,OTSU,9,1,10,80,1,1,391,
"(3, 3)",1.0,OTSU,9,1,10,90,1,1,457,
"(3, 3)",1.0,OTSU,9,1,10,100,1,1,439,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(3, 3)",2.0,OTSU,9,1,10,10,1,1,2673,
"(3, 3)",2.0,OTSU,9,1,10,20,1,1,2569,
"(3, 3)",2.0,OTSU,9,1,10,30,1,1,2113,
"(3, 3)",2.0,OTSU,9,1,10,40,1,1,577,
"(3, 3)",2.0,OTSU,9,1,10,50,1,1,486,
"(3, 3)",2.0,OTSU,9,1,10,60,1,1,316,
"(3, 3)",2.0,OTSU,9,1,10,70,1,1,382,
"(3, 3)",2.0,OTSU,9,1,10,80,1,1,391,
"(3, 3)",2.0,OTSU,9,1,10,90,1,1,457,
"(3, 3)",2.0,OTSU,9,1,10,100,1,1,439,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(5, 5)",0,OTSU,9,1,10,10,1,1,2673,
"(5, 5)",0,OTSU,9,1,10,20,1,1,2569,
"(5, 5)",0,OTSU,9,1,10,30,1,1,2113,
"(5, 5)",0,OTSU,9,1,10,40,1,1,577,
"(5, 5)",0,OTSU,9,1,10,50,1,1,486,
"(5, 5)",0,OTSU,9,1,10,60,1,1,316,
"(5, 5)",0,OTSU,9,1,10,70,1,1,382,
"(5, 5)",0,OTSU,9,1,10,80,1,1,391,
"(5, 5)",0,OTSU,9,1,10,90,1,1,457,
"(5, 5)",0,OTSU,9,1,10,100,1,1,439,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(5, 5)",1.0,OTSU,9,1,10,10,1,1,2673,
"(5, 5)",1.0,OTSU,9,1,10,20,1,1,2569,
"(5, 5)",1.0,OTSU,9,1,10,30,1,1,2113,
"(5, 5)",1.0,OTSU,9,1,10,40,1,1,577,
"(5, 5)",1.0,OTSU,9,1,10,50,1,1,486,
"(5, 5)",1.0,OTSU,9,1,10,60,1,1,316,
"(5, 5)",1.0,OTSU,9,1,10,70,1,1,382,
"(5, 5)",1.0,OTSU,9,1,10,80,1,1,391,
"(5, 5)",1.0,OTSU,9,1,10,90,1,1,457,
"(5, 5)",1.0,OTSU,9,1,10,100,1,1,439,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(5, 5)",2.0,OTSU,9,1,10,10,1,1,2673,
"(5, 5)",2.0,OTSU,9,1,10,20,1,1,2569,
"(5, 5)",2.0,OTSU,9,1,10,30,1,1,2113,
"(5, 5)",2.0,OTSU,9,1,10,40,1,1,577,
"(5, 5)",2.0,OTSU,9,1,10,50,1,1,486,
"(5, 5)",2.0,OTSU,9,1,10,60,1,1,316,
"(5, 5)",2.0,OTSU,9,1,10,70,1,1,382,
"(5, 5)",2.0,OTSU,9,1,10,80,1,1,391,
"(5, 5)",2.0,OTSU,9,1,10,90,1,1,457,
"(5, 5)",2.0,OTSU,9,1,10,100,1,1,439,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(7, 7)",0,OTSU,9,1,10,10,1,1,2673,
"(7, 7)",0,OTSU,9,1,10,20,1,1,2569,
"(7, 7)",0,OTSU,9,1,10,30,1,1,2113,
"(7, 7)",0,OTSU,9,1,10,40,1,1,577,
"(7, 7)",0,OTSU,9,1,10,50,1,1,486,
"(7, 7)",0,OTSU,9,1,10,60,1,1,316,
"(7, 7)",0,OTSU,9,1,10,70,1,1,382,
"(7, 7)",0,OTSU,9,1,10,80,1,1,391,
"(7, 7)",0,OTSU,9,1,10,90,1,1,457,
"(7, 7)",0,OTSU,9,1,10,100,1,1,439,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(7, 7)",1.0,OTSU,9,1,10,10,1,1,2673,
"(7, 7)",1.0,OTSU,9,1,10,20,1,1,2569,
"(7, 7)",1.0,OTSU,9,1,10,30,1,1,2113,
"(7, 7)",1.0,OTSU,9,1,10,40,1,1,577,
"(7, 7)",1.0,OTSU,9,1,10,50,1,1,486,
"(7, 7)",1.0,OTSU,9,1,10,60,1,1,316,
"(7, 7)",1.0,OTSU,9,1,10,70,1,1,382,
"(7, 7)",1.0,OTSU,9,1,10,80,1,1,391,
"(7, 7)",1.0,OTSU,9,1,10,90,1,1,457,
"(7, 7)",1.0,OTSU,9,1,10,100,1,1,439,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(7, 7)",2.0,OTSU,9,1,10,10,1,1,2673,
"(7, 7)",2.0,OTSU,9,1,10,20,1,1,2569,
"(7, 7)",2.0,OTSU,9,1,10,30,1,1,2113,
"(7, 7)",2.0,OTSU,9,1,10,40,1,1,577,
"(7, 7)",2.0,OTSU,9,1,10,50,1,1,486,
"(7, 7)",2.0,OTSU,9,1,10,60,1,1,316,
"(7, 7)",2.0,OTSU,9,1,10,70,1,1,382,
"(7, 7)",2.0,OTSU,9,1,10,80,1,1,391,
"(7, 7)",2.0,OTSU,9,1,10,90,1,1,457,
"(7, 7)",2.0,OTSU,9,1,10,100,1,1,439,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,40,1,1,215,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,50,1,1,215,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,60,1,1,175,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,70,1,1,226,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,80,1,1,181,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,90,1,1,93,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,100,1,1,93,
"(3, 3)",0,OTSU,9,1,20,10,1,1,3540,
"(3, 3)",0,OTSU,9,1,20,20,1,1,4364,
"(3, 3)",0,OTSU,9,1,20,30,1,1,3597,
"(3, 3)",0,OTSU,9,1,20,40,1,1,1554,
"(3, 3)",0,OTSU,9,1,20,50,1,1,1299,
"(3, 3)",0,OTSU,9,1,20,60,1,1,1283,
"(3, 3)",0,OTSU,9,1,20,70,1,1,1237,
"(3, 3)",0,OTSU,9,1,20,80,1,1,1093,
"(3, 3)",0,OTSU,9,1,20,90,1,1,975,
"(3, 3)",0,OTSU,9,1,20,100,1,1,1023,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(3, 3)",1.0,OTSU,9,1,20,10,1,1,3540,
"(3, 3)",1.0,OTSU,9,1,20,20,1,1,4364,
"(3, 3)",1.0,OTSU,9,1,20,30,1,1,3597,
"(3, 3)",1.0,OTSU,9,1,20,40,1,1,1554,
"(3, 3)",1.0,OTSU,9,1,20,50,1,1,1299,
"(3, 3)",1.0,OTSU,9,1,20,60,1,1,1283,
"(3, 3)",1.0,OTSU,9,1,20,70,1,1,1237,
"(3, 3)",1.0,OTSU,9,1,20,80,1,1,1093,
"(3, 3)",1.0,OTSU,9,1,20,90,1,1,975,
"(3, 3)",1.0,OTSU,9,1,20,100,1,1,1023,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
